Alternativas	ECI_2019	Classe	Score_Global_EF	PIB (Bilhões, PPP)	1/Desemprego	Imposto_de_Renda	1/Inflação	Cresc_PIB_perCapita	Receitas/Despesas	Despesas_Educ(%PIB)	Taxa_Alfabetização	Despesas_P&D (%PIB)	Import_Bens_Serviços(%PIB)	GINI	1/População_favelas
Trinidad and Tobago	0.129528	2	58.16	42.2952	0.239314603	25	0.625938908	-1.901662774	0.989035674	4.116726716		0.0719475			0.08450704
Tunisia	0.356219	2	56.18	136.7618	0.063795039	35	0.173949346	-0.436862311	0.915534821	6.929066658	96.79284668	0.649992857	53.38422251	32.8	0.123966943
Turkey	0.610807	2	63.06	2286.3178	0.083404227	37	0.079791903	3.59183669	0.975532625	4.29460001	99.38563251	0.870992857	29.14919052	41.28888889	0.104895103
Uganda	-0.88649	3	58.8	103.434	0.484449181	38	0.245700246	1.519507689	1.04761469	2.245250034	86.52759552	0.14381	23.17315558	42.16666667	0.020080322
Ukraine	0.296661	2	53.88	417.0512	0.108332972	20	0.100228521	0.230455329	0.919545456	5.813892206	99.96975708	0.6149	52.45417324	25.27	0.052631579
United Arab Emirates	-0.435528	3	75.7	698.9492	0.324865181	0	1.755617978	1.484518083	0.855163544	3.102699995	98.16317749	0.863376	69.1431134	29.25	
United Kingdom	1.551274	1	77.46	2996.8614	0.233765019	45	0.590876861	0.185668846	0.892369745	5.481738567		1.64793375	30.5458906	33.68571429	
United States	1.56816	1	75.2	20349.562	0.198286802	37.52	0.563697858	1.004122169	0.753207016			2.7506225	15.52526318	41.15555556	
Uruguay	0.013474	2	69.24	79.5808	0.11007397	32.4	0.121701879	1.184381098	0.972220103	4.513617897	98.94441393	0.37608875	23.72838423	40.16	
Uzbekistan	-0.483342	3	55.2	257.4998	0.150761345	22	0.076024814	4.012172022	1.393694837	5.945608997	99.99994151	0.161265	28.25852141		0.019157088
Venezuela, RB	-1.493201	3		271.2852	0.089064643	34	5.24443E-06	0.416604934		1.488163312	98.44209798	0.26468	26.20935731		0.027027027
Vietnam	0.051981	2	57.9	860.9154	0.47856049	35	0.317924588	4.892052947		4.640567541	98.62545776	0.382975	91.33720037	35.35	0.054151624
Zambia	-0.716335	3	52.1	69.7168	0.10845987	36	0.086665627	0.508359153	0.90227711	4.31186774	92.09156799		37.3680889	57.1	0.017452007
Zimbabwe	-0.913127	3	40.02	36.3746	0.19462826	51.5	0.006076493	1.870961411	0.811209607	5.494041409	90.67941284		38.55379894	45.93333333	0.03452244
